mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,config_id,direction,families,no_prefix_mean,descriptive_ci_low,descriptive_ci_high,source_head,source_site,receiver_kind,receiver,channel,panel
-0.17461210690187604,0.17461210690187604,-0.141204833984375,-0.555389404296875,-0.0006866455078125,1.0,0.6853932584269663,True,coherent,426:query_sentence:head:513:V,noise,89,-0.17743073112663182,-0.198431192154295,-0.1522224699513296,L13H10,query_sentence,head,L16H1,V,P4
-0.17497259043575672,0.17597795604320055,-0.14910888671875,-0.7037353515625,0.03778076171875,0.9775280898876404,0.7191011235955056,True,coherent,426:query_sentence:head:513:V,restore,89,-0.17858524158083158,-0.2034696254837379,-0.14877646250671217,L13H10,query_sentence,head,L16H1,V,P4
0.1500875869493806,0.1500875869493806,0.1290740966796875,0.0087432861328125,0.465576171875,1.0,0.6404494382022472,True,coherent,426:query_sentence:head:547:V,noise,89,0.15264550022695256,0.1327183685945661,0.16914227959815029,L13H10,query_sentence,head,L17H3,V,P4
0.13949978217649994,0.1400017791919494,0.12548065185546875,-0.0223388671875,0.4471435546875,0.9887640449438202,0.651685393258427,True,coherent,426:query_sentence:head:547:V,restore,89,0.14256916923084478,0.12183609839235798,0.15783315213878502,L13H10,query_sentence,head,L17H3,V,P4
-0.10689723893497767,0.13572107004315664,-0.102783203125,-0.5678863525390625,0.18560791015625,0.7640449438202247,0.5393258426966292,True,coherent,426:query_sentence:head:594:K,noise,89,-0.10962123706423003,-0.1373889928453424,-0.07785769767975542,L13H10,query_sentence,head,L18H18,K,P4
-0.07362035687050122,0.11130017912789678,-0.07025337219238281,-0.35272216796875,0.1923828125,0.7303370786516854,0.48314606741573035,True,heterogeneous,426:query_sentence:head:594:K,restore,89,-0.07480485411896103,-0.09815989022844293,-0.04932815680343116,L13H10,query_sentence,head,L18H18,K,P4
-0.11641270391057047,0.11641270391057047,-0.100830078125,-0.39688873291015625,-0.009033203125,1.0,0.5056179775280899,True,coherent,426:query_sentence:head:595:V,noise,89,-0.11845465364127324,-0.1329387496026714,-0.1012909665536345,L13H10,query_sentence,head,L18H19,V,P4
-0.10308718413449405,0.10402945722087045,-0.0859375,-0.5169677734375,0.0308837890625,0.9662921348314607,0.4044943820224719,True,coherent,426:query_sentence:head:595:V,restore,89,-0.10529284093571806,-0.12044957045758709,-0.08763961095488473,L13H10,query_sentence,head,L18H19,V,P4
0.18422552708829387,0.18456979280107477,0.16552734375,-0.01531982421875,0.6236572265625,0.9887640449438202,0.6966292134831461,True,coherent,426:query_sentence:mlp:14:,noise,89,0.18794705949980636,0.15740347752410375,0.21292254656888127,L13H10,query_sentence,mlp,14,,P4
0.17192503039756518,0.17218014363492473,0.130859375,-0.0113525390625,0.790802001953125,0.9887640449438202,0.6292134831460674,True,coherent,426:query_sentence:mlp:14:,restore,89,0.1751070241818483,0.142679994561699,0.20336520993307725,L13H10,query_sentence,mlp,14,,P4
