mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,config_id,direction,families,no_prefix_mean,descriptive_ci_low,descriptive_ci_high,source_head,source_site,receiver_kind,receiver,channel,panel
-0.03371124267578125,0.0481048583984375,-0.02414703369140625,-0.15142822265625,0.065155029296875,0.85,0.15,False,below_rule,426:query_sentence:head:513:K,noise,20,-0.03371124267578125,-0.05817386627197265,-0.010065994262695332,L13H10,query_sentence,head,L16H1,K,P4
-0.18521366119384766,0.18521366119384766,-0.14463043212890625,-0.36297607421875,-0.03955078125,1.0,0.75,True,coherent,426:query_sentence:head:513:V,noise,20,-0.18521366119384766,-0.2300369644165039,-0.14142531394958496,L13H10,query_sentence,head,L16H1,V,P4
-0.04619922637939453,0.055192756652832034,-0.05085563659667969,-0.152618408203125,0.0425567626953125,0.8,0.1,False,below_rule,426:query_sentence:head:533:K,noise,20,-0.04619922637939453,-0.06835740566253663,-0.024546260833740247,L13H10,query_sentence,head,L16H21,K,P4
0.05701923370361328,0.05701923370361328,0.047210693359375,0.0115814208984375,0.14310836791992188,1.0,0.2,False,below_rule,426:query_sentence:head:533:V,noise,20,0.05701923370361328,0.041856002807617185,0.07385060787200921,L13H10,query_sentence,head,L16H21,V,P4
0.04071788787841797,0.04071788787841797,0.0360107421875,7.62939453125e-05,0.104888916015625,1.0,0.05,False,below_rule,426:query_sentence:head:547:K,noise,20,0.04071788787841797,0.027961645126342773,0.05421244621276855,L13H10,query_sentence,head,L17H3,K,P4
0.1462982177734375,0.1462982177734375,0.1455841064453125,0.0399932861328125,0.25897216796875,1.0,0.7,True,coherent,426:query_sentence:head:547:V,noise,20,0.1462982177734375,0.11910163879394531,0.17370564937591546,L13H10,query_sentence,head,L17H3,V,P4
-0.0007778167724609375,0.0023792266845703127,-0.00035858154296875,-0.00885009765625,0.0036163330078125,0.55,0.0,False,below_rule,426:query_sentence:head:561:K,noise,20,-0.0007778167724609375,-0.002162933349609375,0.0004982280731201146,L13H10,query_sentence,head,L17H17,K,P4
-0.05501546859741211,0.05501546859741211,-0.041290283203125,-0.1594696044921875,-0.01116943359375,1.0,0.15,False,below_rule,426:query_sentence:head:561:V,noise,20,-0.05501546859741211,-0.07211523056030274,-0.03994773864746094,L13H10,query_sentence,head,L17H17,V,P4
0.007208442687988282,0.00829486846923828,0.003509521484375,-0.0045928955078125,0.04669189453125,0.8,0.0,False,below_rule,426:query_sentence:head:568:K,noise,20,0.007208442687988282,0.002601518630981445,0.01303845405578613,L13H10,query_sentence,head,L17H24,K,P4
-0.05844888687133789,0.05844888687133789,-0.051395416259765625,-0.158447265625,-0.0030975341796875,1.0,0.05,False,below_rule,426:query_sentence:head:568:V,noise,20,-0.05844888687133789,-0.07465217590332032,-0.04404362201690678,L13H10,query_sentence,head,L17H24,V,P4
