config_id,direction,query_first,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification
426:query_sentence:head:513:KV,noise,False,20,-0.30494232177734376,0.30494232177734376,-0.268310546875,-0.60345458984375,-0.0751953125,1.0,0.85,True,coherent
426:query_sentence:head:513:KV,noise,True,20,-0.1531360626220703,0.1531360626220703,-0.144989013671875,-0.38422393798828125,-0.039337158203125,1.0,0.6,True,coherent
426:query_sentence:head:547:KV,noise,False,20,0.25505523681640624,0.25505523681640624,0.235107421875,0.0244140625,0.54638671875,1.0,0.8,True,coherent
426:query_sentence:head:547:KV,noise,True,20,0.2045421600341797,0.2045421600341797,0.18017578125,0.03204345703125,0.529296875,1.0,0.75,True,coherent
426:query_sentence:head:594:KV,noise,False,20,-0.15061569213867188,0.18867416381835939,-0.0869140625,-0.55694580078125,0.1383056640625,0.7,0.5,True,coherent
426:query_sentence:head:594:KV,noise,True,20,-0.10131301879882812,0.10485916137695313,-0.075958251953125,-0.30428314208984375,0.030364990234375,0.85,0.4,True,coherent
426:query_sentence:head:595:KV,noise,False,20,-0.20693435668945312,0.24343032836914064,-0.1552734375,-0.65771484375,0.220184326171875,0.75,0.7,True,coherent
426:query_sentence:head:595:KV,noise,True,20,-0.21108264923095704,0.21115894317626954,-0.173583984375,-0.580078125,0.000762939453125,0.95,0.9,True,coherent
474:query_sentence:head:513:KV,noise,False,20,0.21358795166015626,0.21358795166015626,0.215087890625,0.0509033203125,0.43505859375,1.0,0.75,True,coherent
474:query_sentence:head:513:KV,noise,True,20,0.06973953247070312,0.07052078247070312,0.06762313842773438,-0.0078125,0.143310546875,0.95,0.35,False,below_rule
505:query_child_last:head:513:KV,noise,False,20,0.22850799560546875,0.22850799560546875,0.1790771484375,0.0361328125,0.596435546875,1.0,0.8,True,coherent
505:query_child_last:head:513:KV,noise,True,20,0.19200515747070312,0.19251174926757814,0.18782806396484375,-0.00506591796875,0.591796875,0.95,0.65,True,coherent
505:query_child_last:head:533:KV,noise,False,20,0.18677825927734376,0.18677825927734376,0.1329345703125,0.0511474609375,0.54443359375,1.0,0.55,True,coherent
505:query_child_last:head:533:KV,noise,True,20,0.19299812316894532,0.1974323272705078,0.16596603393554688,-0.044342041015625,0.6180419921875,0.95,0.7,True,coherent
505:query_is_token:head:513:V,noise,False,20,-0.000147247314453125,0.001525115966796875,-0.0006103515625,-0.003662109375,0.0029296875,0.55,0.0,False,below_rule
505:query_is_token:head:513:V,noise,True,20,0.000936126708984375,0.002785491943359375,0.00030517578125,-0.00494384765625,0.0107421875,0.55,0.0,False,below_rule
505:query_is_token:head:533:V,noise,False,20,0.001505279541015625,0.003296661376953125,0.0009765625,-0.0042724609375,0.0087890625,0.55,0.0,False,below_rule
505:query_is_token:head:533:V,noise,True,20,0.000788116455078125,0.003803253173828125,0.0009765625,-0.0096435546875,0.00830078125,0.7,0.0,False,below_rule
513:colon:head:561:K,noise,False,20,-0.001399993896484375,0.014868927001953126,-0.00244140625,-0.06494140625,0.04541015625,0.65,0.0,False,below_rule
513:colon:head:561:K,noise,True,20,-0.0032777786254882812,0.016368293762207033,-0.0029144287109375,-0.048828125,0.0472412109375,0.6,0.0,False,below_rule
513:colon:head:561:V,noise,False,20,0.31837158203125,0.31837158203125,0.2490234375,0.0830078125,0.788330078125,1.0,0.85,True,coherent
513:colon:head:561:V,noise,True,20,0.09388618469238282,0.09472236633300782,0.071136474609375,-0.00836181640625,0.28369140625,0.95,0.4,False,below_rule
513:colon:head:579:Q,noise,False,20,-0.000534820556640625,0.002468109130859375,-0.0003662109375,-0.00537109375,0.006011962890625,0.55,0.0,False,below_rule
513:colon:head:579:Q,noise,True,20,-0.0013088226318359376,0.0030971527099609374,-0.00048828125,-0.0068359375,0.0050048828125,0.5,0.0,False,below_rule
513:colon:head:604:Q,noise,False,20,-0.00043792724609375,0.00236663818359375,-0.000244140625,-0.005615234375,0.005859375,0.5,0.0,False,below_rule
513:colon:head:604:Q,noise,True,20,0.0013042449951171874,0.0032428741455078126,0.0013427734375,-0.006622314453125,0.009765625,0.6,0.0,False,below_rule
533:colon:head:561:K,noise,False,20,0.00172119140625,0.0088836669921875,0.00262451171875,-0.02734375,0.03125,0.65,0.0,False,below_rule
533:colon:head:561:K,noise,True,20,-0.009983062744140625,0.03745193481445312,-0.00817108154296875,-0.0908203125,0.070343017578125,0.55,0.0,False,below_rule
533:colon:head:561:V,noise,False,20,0.13909072875976564,0.15132675170898438,0.0836181640625,-0.1153564453125,0.67236328125,0.85,0.45,True,coherent
533:colon:head:561:V,noise,True,20,0.19771251678466797,0.19771251678466797,0.158782958984375,0.029541015625,0.54461669921875,1.0,0.75,True,coherent
533:colon:head:578:Q,noise,False,20,-0.000417327880859375,0.002577972412109375,-0.00054931640625,-0.0059814453125,0.005615234375,0.55,0.0,False,below_rule
533:colon:head:578:Q,noise,True,20,-0.0007892608642578125,0.0035709381103515626,-0.0009765625,-0.00732421875,0.00732421875,0.55,0.0,False,below_rule
533:colon:head:586:Q,noise,False,20,-0.004117584228515625,0.006705474853515625,-0.002197265625,-0.029296875,0.0108642578125,0.7,0.0,False,below_rule
533:colon:head:586:Q,noise,True,20,0.0012233734130859375,0.008050155639648438,0.00048828125,-0.022216796875,0.03633880615234375,0.5,0.0,False,below_rule
545:other_is_token:head:594:V,noise,False,20,-0.23861255645751953,0.23861255645751953,-0.206298828125,-0.566650390625,-0.06591796875,1.0,0.9,True,coherent
545:other_is_token:head:594:V,noise,True,20,-0.10445327758789062,0.10445327758789062,-0.08599853515625,-0.23876953125,-0.03125,1.0,0.4,True,coherent
545:other_is_token:head:595:V,noise,False,20,-0.11774635314941406,0.11774635314941406,-0.1077880859375,-0.320556640625,-0.021484375,1.0,0.55,True,coherent
545:other_is_token:head:595:V,noise,True,20,-0.01867523193359375,0.01902313232421875,-0.0106201171875,-0.076446533203125,0.00347900390625,0.95,0.0,False,below_rule
545:other_is_token:head:600:V,noise,False,20,0.18000946044921876,0.18000946044921876,0.1661376953125,0.052001953125,0.53173828125,1.0,0.8,True,coherent
545:other_is_token:head:600:V,noise,True,20,0.20138969421386718,0.20138969421386718,0.190582275390625,0.0751953125,0.352294921875,1.0,0.95,True,coherent
545:other_mother:head:594:V,noise,False,20,-0.333087158203125,0.333087158203125,-0.3177490234375,-0.80517578125,-0.097900390625,1.0,0.95,True,coherent
545:other_mother:head:594:V,noise,True,20,-0.10539627075195312,0.10539627075195312,-0.0730743408203125,-0.308013916015625,-0.018463134765625,1.0,0.35,True,coherent
545:other_mother:head:595:V,noise,False,20,-0.08053011894226074,0.08053011894226074,-0.0794677734375,-0.1783447265625,-0.00830078125,1.0,0.35,False,below_rule
545:other_mother:head:595:V,noise,True,20,-0.017153167724609376,0.017153167724609376,-0.0118560791015625,-0.05126953125,-0.0009765625,1.0,0.0,False,below_rule
545:other_mother:head:600:V,noise,False,20,0.44533843994140626,0.44533843994140626,0.4202880859375,0.158447265625,0.98876953125,1.0,1.0,True,coherent
545:other_mother:head:600:V,noise,True,20,0.3525821685791016,0.3525821685791016,0.34391021728515625,0.18309783935546875,0.6318359375,1.0,1.0,True,coherent
545:other_mother:head:641:V,noise,False,20,0.0154266357421875,0.0154266357421875,0.01165771484375,0.00048828125,0.048828125,1.0,0.0,False,below_rule
545:other_mother:head:641:V,noise,True,20,0.020499038696289062,0.020560073852539062,0.013427734375,-0.0006103515625,0.06103515625,0.95,0.0,False,below_rule
545:other_mother:head:709:V,noise,False,20,-0.26329193115234373,0.26329193115234373,-0.2406005859375,-0.4896240234375,-0.097900390625,1.0,0.95,True,coherent
545:other_mother:head:709:V,noise,True,20,-0.10157852172851563,0.10157852172851563,-0.090789794921875,-0.20263671875,-0.0267333984375,1.0,0.35,True,coherent
545:other_mother:head:870:V,noise,False,20,-0.0803924560546875,0.0815155029296875,-0.05419921875,-0.20379638671875,0.007080078125,0.85,0.45,False,below_rule
545:other_mother:head:870:V,noise,True,20,-0.030183792114257812,0.03132820129394531,-0.02215576171875,-0.0908203125,0.008270263671875,0.8,0.0,False,below_rule
545:other_period:head:594:V,noise,False,20,-0.6850814819335938,0.6850814819335938,-0.7049560546875,-1.161865234375,-0.24560546875,1.0,1.0,True,coherent
545:other_period:head:594:V,noise,True,20,-0.05825862884521484,0.05825862884521484,-0.05926513671875,-0.104217529296875,-0.013427734375,1.0,0.05,False,below_rule
545:other_period:head:595:V,noise,False,20,-0.320458984375,0.320458984375,-0.2579345703125,-0.814453125,-0.0400390625,1.0,0.9,True,coherent
545:other_period:head:595:V,noise,True,20,-0.0178253173828125,0.0179962158203125,-0.014801025390625,-0.043182373046875,0.001708984375,0.95,0.0,False,below_rule
545:query_is_token:head:576:V,noise,False,20,0.0003875732421875,0.0020050048828125,0.000244140625,-0.0030517578125,0.00537109375,0.5,0.0,False,below_rule
545:query_is_token:head:576:V,noise,True,20,-4.8065185546875e-05,0.002678680419921875,0.0,-0.006561279296875,0.007843017578125,0.45,0.0,False,below_rule
545:query_is_token:head:582:V,noise,False,20,-0.000414276123046875,0.001978302001953125,-0.00048828125,-0.0048828125,0.0042724609375,0.55,0.0,False,below_rule
545:query_is_token:head:582:V,noise,True,20,-0.0002025604248046875,0.0026454925537109375,0.00075531005859375,-0.0067138671875,0.00567626953125,0.4,0.0,False,below_rule
545:query_is_token:head:583:V,noise,False,20,4.119873046875e-05,0.00291595458984375,6.103515625e-05,-0.0079345703125,0.00634765625,0.5,0.0,False,below_rule
