config_id,direction,before_mean,after_mean,signed_order_difference,mean_absolute_order_difference,max_absolute_order_difference
426:query_sentence:head:513:KV,noise,-0.10532986715938268,-0.2850592966829793,0.1797294295235966,0.21910473469937786,1.38409423828125
426:query_sentence:head:513:KV,restore,-0.08397947804311688,-0.27181561073560395,0.18783613269248706,0.20572174800915666,1.2116241455078125
426:query_sentence:head:513:V,noise,-0.09956170735734232,-0.24966250644640975,0.15010079908906743,0.17462556281786287,0.72161865234375
426:query_sentence:head:513:V,restore,-0.09823780381277705,-0.2517073770587364,0.15346957324595933,0.17122900352049408,0.84820556640625
426:query_sentence:head:547:KV,noise,0.19256217827957667,0.2754435164205144,-0.08288133814093772,0.17632491936844386,0.90234375
426:query_sentence:head:547:KV,restore,0.16374780890646945,0.24756913774468925,-0.0838213288382198,0.17003177257066363,1.20574951171875
426:query_sentence:head:547:V,noise,0.11566829681396484,0.18450687708479635,-0.0688385802708315,0.1110135732072123,0.56298828125
426:query_sentence:head:547:V,restore,0.1058526842781667,0.17314688007483323,-0.06729419579666653,0.10618953490525149,0.48980712890625
426:query_sentence:head:594:K,noise,-0.07696651608756419,-0.13682796178239115,0.05986144569482696,0.15327373783240159,0.885284423828125
426:query_sentence:head:594:K,restore,-0.057921677492977525,-0.08931903624802492,0.0313973587550474,0.13569229640317768,0.548828125
426:query_sentence:head:595:V,noise,-0.1214735374022066,-0.11135187041893434,-0.01012166698327225,0.07899690478035573,0.4095458984375
426:query_sentence:head:595:V,restore,-0.09895660100358256,-0.10721776726540555,0.008261166261822992,0.0825913782869832,0.44140625
426:query_sentence:mlp:14:,noise,0.12599935424461794,0.2424516999319698,-0.11645234568735187,0.15985344233137838,0.5936737060546875
426:query_sentence:mlp:14:,restore,0.13055351343047752,0.21329654736465284,-0.0827430339341753,0.141865355245183,0.890625
474:query_sentence:head:513:KV,noise,0.06814440180746358,0.22847242033883428,-0.1603280185313707,0.1709903116976277,0.949462890625
474:query_sentence:head:513:KV,restore,0.06424350952834226,0.2148531795887465,-0.15060967006040424,0.16377526186825184,0.697021484375
474:query_sentence:head:513:V,noise,0.0622922597306498,0.20975434378291782,-0.14746208405226804,0.15124317769254192,0.743896484375
474:query_sentence:head:513:V,restore,0.0739831817284059,0.20533947462446234,-0.13135629289605644,0.1396061543668254,0.609619140625
505:query_child_last:head:513:KV,noise,0.14046620786859748,0.22865741172533358,-0.08819120385673608,0.1522208545984847,0.6322574615478516
505:query_child_last:head:513:KV,restore,0.1199464262201545,0.24224146296469012,-0.12229503674453564,0.17711677979887203,1.08172607421875
505:query_child_last:head:513:V,noise,0.12849138024147977,0.23455004745654845,-0.1060586672150687,0.147060233555483,0.56103515625
505:query_child_last:head:513:V,restore,0.1286366441276636,0.2454710542485955,-0.1168344101209319,0.1508767685193694,0.9564208984375
505:query_child_last:head:533:KV,noise,0.19575983754704507,0.22819741924157302,-0.032437581694527956,0.1501196636242813,0.90191650390625
505:query_child_last:head:533:KV,restore,0.19595445675796339,0.24914850813619208,-0.05319405137822869,0.13850439800305314,1.036865234375
