config_id,direction,population,n,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,ci_low,ci_high,source,site,kind,receiver,channel,panel,control_of
426:query_sentence:head:513:KV,noise,all89,89,-0.19519458192118097,0.20031570584586497,-0.1466064453125,-0.927642822265625,0.133056640625,0.9438202247191011,0.6853932584269663,True,coherent,-0.2314233159751035,-0.16161710305160354,426,query_sentence,head,513,KV,P4,
426:query_sentence:head:513:KV,noise,core20,20,-0.22903919219970703,0.22903919219970703,-0.22452545166015625,-0.4460182189941406,-0.066162109375,1.0,0.8,True,coherent,-0.27993590354919434,-0.17720652103424073,426,query_sentence,head,513,KV,P4,
426:query_sentence:head:513:KV,noise,additional69,69,-0.1853845499563908,0.19199005762736002,-0.129852294921875,-0.927642822265625,0.133056640625,0.927536231884058,0.6521739130434783,True,coherent,-0.2300499086794646,-0.1451760618583016,426,query_sentence,head,513,KV,P4,
426:query_sentence:head:513:KV,restore,all89,89,-0.1778975443893604,0.1856287784790725,-0.1451416015625,-0.7379379272460938,0.090576171875,0.9101123595505618,0.651685393258427,True,coherent,-0.2129201235396139,-0.14518669776702198,426,query_sentence,head,513,KV,P4,
426:query_sentence:head:513:KV,restore,core20,20,-0.15690231323242188,0.16897811889648437,-0.12308883666992188,-0.641998291015625,0.05682373046875,0.85,0.5,True,coherent,-0.23067324638366699,-0.09297885894775393,426,query_sentence,head,513,KV,P4,
426:query_sentence:head:513:KV,restore,additional69,69,-0.18398311863774838,0.1904550566189531,-0.1451416015625,-0.7379379272460938,0.090576171875,0.927536231884058,0.6956521739130435,True,coherent,-0.22453156087709508,-0.14706762597180797,426,query_sentence,head,513,KV,P4,
426:query_sentence:head:513:V,noise,all89,89,-0.17461210690187604,0.17461210690187604,-0.141204833984375,-0.555389404296875,-0.0006866455078125,1.0,0.6853932584269663,True,coherent,-0.198431192154295,-0.1522224699513296,426,query_sentence,head,513,V,P4,
426:query_sentence:head:513:V,noise,core20,20,-0.18521366119384766,0.18521366119384766,-0.14463043212890625,-0.36297607421875,-0.03955078125,1.0,0.75,True,coherent,-0.22950384616851807,-0.14158011436462403,426,query_sentence,head,513,V,P4,
426:query_sentence:head:513:V,noise,additional69,69,-0.17153919261434805,0.17153919261434805,-0.141204833984375,-0.555389404296875,-0.0006866455078125,1.0,0.6666666666666666,True,coherent,-0.19980086571928385,-0.1455066075359566,426,query_sentence,head,513,V,P4,
426:query_sentence:head:513:V,restore,all89,89,-0.17497259043575672,0.17597795604320055,-0.14910888671875,-0.7037353515625,0.03778076171875,0.9775280898876404,0.7191011235955056,True,coherent,-0.2034696254837379,-0.14877646250671217,426,query_sentence,head,513,V,P4,
426:query_sentence:head:513:V,restore,core20,20,-0.18579158782958985,0.18579158782958985,-0.18988037109375,-0.513397216796875,-0.0552978515625,1.0,0.7,True,coherent,-0.23630331993103026,-0.141905574798584,426,query_sentence,head,513,V,P4,
426:query_sentence:head:513:V,restore,additional69,69,-0.17183664916218191,0.17313342509062393,-0.14697265625,-0.7037353515625,0.03778076171875,0.9710144927536232,0.7246376811594203,True,coherent,-0.2056434578653695,-0.14091583714968917,426,query_sentence,head,513,V,P4,
426:query_sentence:head:547:KV,noise,all89,89,0.23400284735004553,0.23400284735004553,0.1861572265625,0.0023193359375,0.8182373046875,1.0,0.7752808988764045,True,coherent,0.20023744159869933,0.27110341747155353,426,query_sentence,head,547,KV,P4,
426:query_sentence:head:547:KV,noise,core20,20,0.22979869842529296,0.22979869842529296,0.237060546875,0.047607421875,0.4112358093261719,1.0,0.8,True,coherent,0.18044141292572022,0.2794161748886108,426,query_sentence,head,547,KV,P4,
426:query_sentence:head:547:KV,noise,additional69,69,0.23522144124127817,0.23522144124127817,0.16763973236083984,0.0023193359375,0.8182373046875,1.0,0.7681159420289855,True,coherent,0.19303167298220206,0.28060930932777517,426,query_sentence,head,547,KV,P4,
426:query_sentence:head:547:KV,restore,all89,89,0.20565847332557935,0.20629762799552318,0.1556396484375,-0.025146484375,0.815521240234375,0.9775280898876404,0.7528089887640449,True,coherent,0.17447177051158436,0.23928784413284127,426,query_sentence,head,547,KV,P4,
426:query_sentence:head:547:KV,restore,core20,20,0.18857955932617188,0.18857955932617188,0.1600341796875,0.027435302734375,0.5018310546875,1.0,0.8,True,coherent,0.1366434669494629,0.2449927759170532,426,query_sentence,head,547,KV,P4,
426:query_sentence:head:547:KV,restore,additional69,69,0.21060888318048007,0.211433300073596,0.1556396484375,-0.025146484375,0.815521240234375,0.9710144927536232,0.7391304347826086,True,coherent,0.17334211667378743,0.25145064782405235,426,query_sentence,head,547,KV,P4,
426:query_sentence:head:547:V,noise,all89,89,0.1500875869493806,0.1500875869493806,0.1290740966796875,0.0087432861328125,0.465576171875,1.0,0.6404494382022472,True,coherent,0.1327183685945661,0.16914227959815029,426,query_sentence,head,547,V,P4,
426:query_sentence:head:547:V,noise,core20,20,0.1462982177734375,0.1462982177734375,0.1455841064453125,0.0399932861328125,0.25897216796875,1.0,0.7,True,coherent,0.11930417060852051,0.1730485391616821,426,query_sentence,head,547,V,P4,
426:query_sentence:head:547:V,noise,additional69,69,0.15118595482646555,0.15118595482646555,0.12870407104492185,0.0087432861328125,0.465576171875,1.0,0.6231884057971014,True,coherent,0.12979016511336616,0.17409104074257006,426,query_sentence,head,547,V,P4,
426:query_sentence:head:547:V,restore,all89,89,0.13949978217649994,0.1400017791919494,0.12548065185546875,-0.0223388671875,0.4471435546875,0.9887640449438202,0.651685393258427,True,coherent,0.12183609839235798,0.15783315213878502,426,query_sentence,head,547,V,P4,
