config_id,direction,prefix,count,mean,min,max
426:query_sentence:head:513:KV,noise,False,87,-0.19780165025557594,-0.927642822265625,0.133056640625
426:query_sentence:head:513:KV,noise,True,2,-0.081787109375,-0.1044921875,-0.05908203125
426:query_sentence:head:513:KV,restore,False,87,-0.18185665415621352,-0.7379379272460938,0.090576171875
426:query_sentence:head:513:KV,restore,True,2,-0.00567626953125,-0.02197265625,0.0106201171875
426:query_sentence:head:513:V,noise,False,87,-0.17743073112663182,-0.555389404296875,-0.0006866455078125
426:query_sentence:head:513:V,noise,True,2,-0.052001953125,-0.05419921875,-0.0498046875
426:query_sentence:head:513:V,restore,False,87,-0.17858524158083158,-0.7037353515625,0.03778076171875
426:query_sentence:head:513:V,restore,True,2,-0.017822265625,-0.0426025390625,0.0069580078125
426:query_sentence:head:547:KV,noise,False,87,0.23824009402044888,0.0023193359375,0.8182373046875
426:query_sentence:head:547:KV,noise,True,2,0.0496826171875,0.0361328125,0.063232421875
426:query_sentence:head:547:KV,restore,False,87,0.20998496570806394,-0.0032958984375,0.815521240234375
426:query_sentence:head:547:KV,restore,True,2,0.0174560546875,-0.025146484375,0.06005859375
426:query_sentence:head:547:V,noise,False,87,0.15264550022695256,0.0087432861328125,0.465576171875
426:query_sentence:head:547:V,noise,True,2,0.038818359375,0.03662109375,0.041015625
426:query_sentence:head:547:V,restore,False,87,0.14256916923084478,0.0084228515625,0.4471435546875
426:query_sentence:head:547:V,restore,True,2,0.0059814453125,-0.0223388671875,0.0343017578125
426:query_sentence:head:594:K,noise,False,87,-0.10962123706423003,-0.5678863525390625,0.18560791015625
426:query_sentence:head:594:K,noise,True,2,0.0115966796875,-0.005126953125,0.0283203125
426:query_sentence:head:594:K,restore,False,87,-0.07480485411896103,-0.35272216796875,0.1923828125
426:query_sentence:head:594:K,restore,True,2,-0.0220947265625,-0.0516357421875,0.0074462890625
426:query_sentence:head:595:V,noise,False,87,-0.11845465364127324,-0.39688873291015625,-0.0091094970703125
426:query_sentence:head:595:V,noise,True,2,-0.027587890625,-0.046142578125,-0.009033203125
426:query_sentence:head:595:V,restore,False,87,-0.10529284093571806,-0.5169677734375,0.00640869140625
426:query_sentence:head:595:V,restore,True,2,-0.00714111328125,-0.045166015625,0.0308837890625
426:query_sentence:mlp:14:,noise,False,87,0.18794705949980636,-0.01531982421875,0.6236572265625
426:query_sentence:mlp:14:,noise,True,2,0.0223388671875,0.002685546875,0.0419921875
426:query_sentence:mlp:14:,restore,False,87,0.1751070241818483,-0.0113525390625,0.790802001953125
426:query_sentence:mlp:14:,restore,True,2,0.03350830078125,0.0303955078125,0.03662109375
474:query_sentence:head:513:KV,noise,False,87,0.15030908036506038,-0.06536865234375,0.48834228515625
474:query_sentence:head:513:KV,noise,True,2,0.061279296875,0.01025390625,0.1123046875
474:query_sentence:head:513:KV,restore,False,87,0.14236769182928677,-0.02252197265625,0.4400634765625
474:query_sentence:head:513:KV,restore,True,2,0.01690673828125,0.006591796875,0.0272216796875
474:query_sentence:head:513:V,noise,False,87,0.13795482701268688,0.001922607421875,0.4090576171875
