mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,config_id,direction,families,no_prefix_mean,descriptive_ci_low,descriptive_ci_high,source_head,source_site,receiver_kind,receiver,channel,panel,phase
-0.0839756488800048,0.1027454853057861,-0.067901611328125,-0.2542724609375,0.09552001953125,0.85,0.35,True,heterogeneous,426:query_sentence:head:595:K,noise,20,-0.0839756488800048,-0.1234316337108612,-0.0454198610782623,L13H10,query_sentence,head,L18H19,K,P4,seed
0.1008829116821289,0.1008829116821289,0.07659912109375,0.01788330078125,0.3023681640625,1.0,0.35,True,coherent,568:colon:head:695:KV,noise,20,0.1008829116821289,0.0758235454559326,0.1309714651107787,L17H24,colon,head,L21H23,KV,P3,seed
0.0770694255828857,0.1012535572052002,0.092376708984375,-0.0724105834960937,0.2996749877929687,0.7,0.5,True,heterogeneous,594:colon:mlp:18:,noise,20,0.0770694255828857,0.034680198431015,0.1224149966239929,L18H18,colon,mlp,18,,P3,seed
0.1047104239463806,0.1047104239463806,0.082180380821228,0.0282440185546875,0.295654296875,1.0,0.4,True,coherent,595:colon:head:678:Q,noise,20,0.1047104239463806,0.0748032894730567,0.1398182106018066,L18H19,colon,head,L21H6,Q,P3,seed
-0.12596435546875,0.1382583618164062,-0.1377601623535156,-0.3649787902832031,0.0430145263671875,0.75,0.55,True,coherent,426:query_sentence:head:594:KV,noise,20,-0.12596435546875,-0.179265809059143,-0.074415020942688,L13H10,query_sentence,head,L18H18,KV,P4,refine
-0.209008502960205,0.2119748115539551,-0.243621826171875,-0.4747200012207031,0.0171966552734375,0.9,0.75,True,coherent,426:query_sentence:head:595:KV,noise,20,-0.209008502960205,-0.263908839225769,-0.1537143206596375,L13H10,query_sentence,head,L18H19,KV,P4,refine
-0.3065648794174194,0.3065648794174194,-0.298675537109375,-0.4202175140380859,-0.1467947959899902,1.0,1.0,True,coherent,545:query_is_token:head:600:KV,noise,20,-0.3065648794174194,-0.3411086428165436,-0.270865632891655,L17H1,query_is_token,head,L18H24,KV,P1,refine
0.1396856307983398,0.1396856307983398,0.1227340698242187,0.056243896484375,0.3129425048828125,1.0,0.65,True,coherent,545:query_is_token:head:709:KV,noise,20,0.1396856307983398,0.1109264230728149,0.1731219673156738,L17H1,query_is_token,head,L22H5,KV,P1,refine
-0.5166877746582031,0.5166877746582031,-0.51800537109375,-0.95843505859375,-0.3062667846679687,1.0,1.0,True,coherent,545:query_mother:head:600:KV,noise,20,-0.5166877746582031,-0.5888507318496704,-0.4508754777908325,L17H1,query_mother,head,L18H24,KV,P1,refine
-0.1350191116333007,0.1350191116333007,-0.1177215576171875,-0.3182525634765625,-0.048370361328125,1.0,0.6,True,coherent,545:query_mother:head:624:KV,noise,20,-0.1350191116333007,-0.1711750221252441,-0.1017976760864258,L17H1,query_mother,head,L19H16,KV,P1,refine
-0.2440437316894531,0.2440437316894531,-0.19451904296875,-0.65484619140625,-0.0328369140625,1.0,0.75,True,coherent,545:query_mother:head:641:KV,noise,20,-0.2440437316894531,-0.3279832887649536,-0.1678648805618286,L17H1,query_mother,head,L20H1,KV,P1,refine
0.3821578979492187,0.4038822174072266,0.3766098022460937,-0.1239166259765625,1.16455078125,0.85,0.75,True,coherent,545:query_mother:head:870:KV,noise,20,0.3821578979492187,0.2390445947647095,0.5301842212677003,L17H1,query_mother,head,L27H6,KV,P1,refine
0.4351333618164062,0.4351333618164062,0.3446846008300781,0.1233978271484375,1.1001510620117188,1.0,1.0,True,coherent,545:query_period:head:595:KV,noise,20,0.4351333618164062,0.3367373418807983,0.5462477159500122,L17H1,query_period,head,L18H19,KV,P1,refine
-0.2525608062744141,0.2525608062744141,-0.2481689453125,-0.4713611602783203,-0.135711669921875,1.0,1.0,True,coherent,545:query_period:head:600:KV,noise,20,-0.2525608062744141,-0.2941198396682739,-0.2155439829826355,L17H1,query_period,head,L18H24,KV,P1,refine
0.332496190071106,0.3835655927658081,0.3734130859375,-0.243896484375,1.14697265625,0.8,0.8,True,coherent,545:query_writer_union:head:870:V,noise,20,0.332496190071106,0.1833056336641311,0.4864446133375166,L17H1,query_writer_union,head,L27H6,V,P1,refine
0.0113751411437988,0.1668004035949707,-0.0520515441894531,-0.2354736328125,0.5517330169677734,0.45,0.65,True,heterogeneous,545:query_writer_union:mlp:17:,noise,20,0.0113751411437988,-0.0749784278869628,0.1096979546546935,L17H1,query_writer_union,mlp,17,,P1,refine
0.2729996681213379,0.2729996681213379,0.2481613159179687,0.123504638671875,0.487091064453125,1.0,1.0,True,coherent,594:colon:head:817:V,noise,20,0.2729996681213379,0.2281873631477355,0.318709876537323,L18H18,colon,head,L25H17,V,P3,refine
0.3448635101318359,0.3448635101318359,0.32183837890625,0.1234130859375,0.697021484375,1.0,1.0,True,coherent,595:colon:head:817:V,noise,20,0.3448635101318359,0.2817770433425903,0.4108485460281371,L18H19,colon,head,L25H17,V,P3,refine
-0.1794191360473633,0.1794191360473633,-0.1545867919921875,-0.5023574829101562,-0.03521728515625,1.0,0.75,True,coherent,641:colon:head:817:V,noise,20,-0.1794191360473633,-0.2293477487564087,-0.135643539428711,L20H1,colon,head,L25H17,V,P3,refine
